;date;1. open;2. high;3. low;4. close;5. volume
421;2012-03-23;205.71;206.53;203.702;205.48;17132200.0
422;2012-03-16;200.93;207.52;200.23;206.01;25846100.0
423;2012-03-09;198.36;201.19;196.812;200.62;21823600.0
424;2012-03-02;196.78;199.17;196.1;198.81;19330600.0
425;2012-02-24;193.73;199.23;192.46;197.76;17955300.0
426;2012-02-17;193.31;193.86;190.831;193.42;17149800.0
427;2012-02-10;192.48;194.46;191.28;192.42;18144100.0
428;2012-02-03;189.39;194.81;188.22;193.64;22703600.0
429;2012-01-27;187.91;192.79;187.67;190.46;22822200.0
430;2012-01-20;180.36;188.97;179.32;188.52;32020900.0
431;2012-01-13;182.2;183.72;177.3472;179.16;26633200.0
432;2012-01-06;186.73;188.71;182.31;182.54;19352900.0
433;2011-12-30;184.97;186.48;183.34;183.88;12119700.0
434;2011-12-23;184.51;187.33;179.04;184.75;27166800.0
435;2011-12-16;193.64;194.3;181.91;183.57;30186100.0
436;2011-12-09;191.18;194.9;190.32;194.56;24142900.0
437;2011-12-02;182.71;191.33;180.67;189.66;25843600.0
438;2011-11-25;183.37;183.96;177.06;177.06;16357400.0
439;2011-11-18;189.17;189.97;183.39;185.24;25522100.0
440;2011-11-11;186.22;187.88;181.16;187.38;20903100.0
441;2011-11-04;185.59;187.78;180.74;186.38;22918900.0
442;2011-10-28;181.51;188.07;179.03;187.45;28719000.0
443;2011-10-21;189.71;190.16;176.17;181.63;46796000.0
444;2011-10-14;183.0;190.53;182.9;190.53;26220900.0
445;2011-10-07;174.36;183.72;168.88;182.39;38117800.0
446;2011-09-30;170.96;180.91;169.86;174.87;36868400.0
447;2011-09-23;169.5;177.67;165.76;169.34;31790500.0
448;2011-09-16;159.64;172.99;158.76;172.99;33464200.0
449;2011-09-09;163.06;169.58;160.81;161.37;25328900.0
450;2011-09-02;170.58;173.72;166.0;166.98;26288300.0
451;2011-08-26;161.35;169.33;157.62;169.14;33789200.0
452;2011-08-19;171.32;174.0;157.13;157.54;47511700.0
453;2011-08-12;168.83;172.61;161.85;168.2;56678700.0
454;2011-08-05;182.6;183.69;166.52;172.98;41229200.0
455;2011-07-29;183.89;184.96;179.73;181.85;26294400.0
456;2011-07-22;174.73;185.63;173.58;185.18;37500900.0
457;2011-07-15;174.9;176.32;173.84;175.54;23838300.0
458;2011-07-08;173.52;177.77;173.52;176.49;20777900.0
459;2011-07-01;165.74;174.65;165.21;174.54;23400700.0
460;2011-06-24;163.7;166.81;163.59;165.07;22978000.0
461;2011-06-17;164.44;165.1;161.52;164.44;29385600.0
462;2011-06-10;164.76;165.96;162.87;163.18;20640600.0
463;2011-06-03;168.44;169.89;164.13;165.05;23342600.0
464;2011-05-27;168.58;168.69;165.9;167.5;22718600.0
465;2011-05-20;169.81;171.41;166.53;170.16;25997900.0
466;2011-05-13;168.39;172.77;167.82;169.92;23498700.0
467;2011-05-06;172.11;173.54;167.5;168.89;29465600.0
468;2011-04-29;167.65;173.0;167.23;170.58;26858900.0
469;2011-04-21;164.64;168.45;162.19;168.28;29758000.0
470;2011-04-15;163.44;166.34;162.3;166.21;22168000.0
471;2011-04-08;164.42;164.75;163.16;164.05;17602700.0
472;2011-04-01;161.54;164.42;161.12;164.27;19066300.0
473;2011-03-25;157.64;162.74;157.07;162.18;25371800.0
474;2011-03-18;161.16;161.9804;151.71;155.89;41798000.0
475;2011-03-11;161.6;167.72;158.85;162.43;31095800.0
476;2011-03-04;162.36;164.31;159.41;161.83;21537300.0
477;2011-02-25;163.57;164.26;159.03;162.28;21433300.0
478;2011-02-18;164.18;164.84;162.52;164.84;18590000.0
479;2011-02-11;164.08;166.25;163.18;163.85;26097300.0
480;2011-02-04;159.18;164.2;158.68;164.0;25371100.0
481;2011-01-28;155.42;164.35;155.33;159.21;32502900.0
482;2011-01-21;149.82;156.78;149.38;155.5;35766800.0
483;2011-01-14;147.58;150.0;146.75;150.0;19878500.0
484;2011-01-07;147.21;148.86;146.64;147.93;23486200.0
485;2010-12-31;145.12;147.5;145.0;146.76;14684300.0
486;2010-12-23;145.39;146.4;144.33;145.89;13585400.0
487;2010-12-17;145.14;146.01;144.15;145.0;28194800.0
488;2010-12-10;144.54;146.2999;143.52;144.82;21020900.0
489;2010-12-03;143.53;145.85;141.28;145.38;28622500.0
490;2010-11-26;144.0;146.44;142.33;143.9;15256400.0
491;2010-11-19;143.89;145.35;141.18;145.05;24207800.0
492;2010-11-12;145.35;147.53;143.35;143.74;24816000.0
493;2010-11-05;143.64;146.93;142.32;146.92;27101400.0
494;2010-10-29;140.42;144.0;138.53;143.6;32583300.0
495;2010-10-22;140.9;143.03;136.7;139.67;41753800.0
496;2010-10-15;138.79;142.1;138.27;141.06;31299400.0
497;2010-10-08;135.23;139.09;134.39;138.85;26027000.0
498;2010-10-01;133.51;136.28;133.51;135.64;30834900.0
499;2010-09-24;130.24;134.15;130.11;134.11;28357000.0
500;2010-09-17;128.63;130.6;128.43;130.19;29966700.0
501;2010-09-10;126.99;128.29;125.39;127.99;16686200.0
502;2010-09-03;125.08;127.6;122.28;127.58;25097500.0
503;2010-08-27;127.57;128.03;122.42;124.73;28851700.0
504;2010-08-20;127.47;130.195;126.96;127.5;24839400.0
505;2010-08-13;130.79;132.49;127.33;127.87;27721100.0
506;2010-08-06;129.25;131.98;128.76;130.14;26753600.0
507;2010-07-30;128.18;129.5;127.04;128.4;29087100.0
508;2010-07-23;128.67;130.38;122.93;128.38;45328500.0
509;2010-07-16;127.37;131.6;127.16;128.03;30691500.0
510;2010-07-09;123.58;128.2;122.17;127.96;22776300.0
511;2010-07-02;127.65;129.47;120.61;121.86;39925900.0
512;2010-06-25;131.42;131.94;127.12;127.12;35729700.0
513;2010-06-18;128.5;131.25;128.34;130.15;34958900.0
514;2010-06-11;125.57;128.8;122.82;128.45;36446000.0
515;2010-06-04;124.69;128.22;124.2;125.28;31155200.0
516;2010-05-28;125.26;126.39;121.47;125.26;40594400.0
517;2010-05-21;130.68;131.99;121.4;125.42;52738700.0
518;2010-05-14;126.27;133.1;125.06;131.19;52007600.0
519;2010-05-07;129.39;130.14;116.0;122.1;43103500.0
520;2010-04-30;129.76;132.0;128.71;129.0;35378000.0
521;2010-04-23;130.38;132.28;127.77;129.99;46345200.0
522;2010-04-16;128.57;132.17;127.84;130.63;35328700.0
523;2010-04-09;128.38;129.8;127.12;128.76;24394000.0
524;2010-04-01;129.3;129.95;127.55;128.25;17954900.0
525;2010-03-26;127.11;130.73;126.57;129.26;31453700.0
526;2010-03-19;127.4;128.93;126.78;127.71;32679700.0
527;2010-03-12;127.06;128.37;125.2;127.94;33736000.0
528;2010-03-05;127.5;129.09;125.47;127.25;29153500.0
529;2010-02-26;127.3;128.27;125.57;127.16;23624900.0
530;2010-02-19;124.91;128.06;124.11;127.19;24433700.0
531;2010-02-12;123.15;124.2;121.61;124.0;30088800.0
532;2010-02-05;123.23;126.07;121.83;122.97;35063800.0
533;2010-01-29;126.33;127.75;121.9;122.39;42786400.0
534;2010-01-22;131.63;134.25;125.37;125.5;48810900.0
535;2010-01-15;131.06;132.89;128.67;131.78;35873500.0
536;2010-01-08;131.18;132.97;128.91;130.85;28639800.0
537;2009-12-31;130.99;132.85;130.68;130.9;18075000.0
538;2009-12-24;127.8;130.57;127.68;130.57;18700700.0
539;2009-12-18;129.65;129.98;127.0;127.91;34452500.0
540;2009-12-11;126.88;129.77;126.11;129.68;29242700.0
541;2009-12-04;125.12;128.9;124.92;127.25;30307700.0
542;2009-11-27;127.7;128.94;124.26;125.7;19106900.0
543;2009-11-20;127.17;128.655;126.46;126.96;23482700.0
